"Date","Price","Open","Close","High","Low","Vol.","Change %"
"06/03/2011",1542.50,1535.74,1544.59,1547.46,1525.89,,0.56
"06/02/2011",1533.90,1542.49,1535.74,1546.16,1521.60,,-0.44
"06/01/2011",1540.70,1535.15,1542.49,1550.64,1529.55,,0.35
"05/31/2011",1535.35,1539.95,1535.15,1542.50,1534.26,,-0.20
"05/30/2011",1538.45,1537.24,1539.95,1540.00,1534.39,,0.12
"05/27/2011",1536.65,1523.59,1537.24,1540.10,1520.00,,1.16
"05/26/2011",1519.05,1524.26,1523.59,1531.70,1515.39,,-0.45
"05/25/2011",1525.95,1527.69,1524.26,1534.10,1523.06,,-0.03
"05/24/2011",1526.40,1518.70,1527.69,1529.45,1515.00,,0.61
"05/23/2011",1517.20,1512.60,1518.70,1518.01,1504.05,,0.24
"05/20/2011",1513.55,1495.50,1512.60,1517.55,1488.95,,1.34
"05/19/2011",1493.60,1498.30,1495.50,1501.51,1488.40,,-0.23
"05/18/2011",1497.00,1486.30,1498.30,1501.60,1486.30,,0.68
"05/17/2011",1486.85,1491.20,1486.30,1499.60,1473.50,,-0.19
"05/16/2011",1489.70,1493.75,1491.20,1504.90,1487.89,,-0.32
"05/13/2011",1494.55,1506.41,1493.75,1516.93,1483.03,,-0.55
"05/12/2011",1502.85,1500.25,1506.41,1508.30,1479.30,,0.17
"05/11/2011",1500.25,1513.25,1500.25,1526.80,1496.15,,-1.02
